GSM151955.CEL	GSM151957.CEL	GSM151958.CEL	GSM151959.CEL	GSM151960.CEL	GSM151961.CEL
100128139	3.64832967526623	3.63608720933227	3.73250270501752	3.69053406654316	3.81722798603776	4.07260481435953
100128164	5.54332958611228	5.54070002847648	5.72937008737281	6.00624561655288	5.54308616561231	5.88743466904305
100128176	3.73462298920366	3.5146121818571	3.73125752950612	3.80478901137916	3.78962459046146	3.76647151773481
100128191	3.74354716299305	3.89818286234957	4.22999878646617	4.34118243771965	4.08728512215519	4.0487579155485
100128239	5.64430275439716	5.34523804325745	5.36212722199693	5.55992829995369	5.77243964094704	5.48643384654924
100128252	9.39869710019995	8.9336263408081	8.54214113551101	7.87786360642041	9.51597259356511	9.18109808028334
100128285	4.69647808082924	4.47848426330334	5.0068218099541	4.97117219047316	4.96103821624531	4.89963258627364
100128288	4.64573805259627	4.57693599354654	4.97402781117042	5.07012406574021	5.24457987324235	5.49272688071938
100128292	4.85023147683997	4.81771811807192	5.22709554531774	5.23673782292266	4.99152149598489	5.2939435464451
100128325	6.98009413715772	6.65916358954162	7.00984814492501	7.19340917546481	6.80938292596113	7.20549415159284
100128334	5.95729761715413	5.74339826930801	5.98616446641594	5.91258422388704	5.87210009981189	6.06375090092636
100128361	5.58275081455037	5.40238562898753	5.52604540304027	5.68407867028095	5.44156524199312	5.48164115913537
100128496	5.87028970561186	5.68288248253637	5.79622103488547	5.73135070557256	5.98579983104684	6.20239048870967
100128511	5.69878577254173	5.65312435882465	5.9346401798632	6.03680862824821	5.55641627541029	6.14608431876748
100128537	8.4387556330783	8.26567837233167	8.97769454696541	8.982697313263	8.74058180189855	9.28689239094406
100128554	3.79077755173989	3.83491886051381	3.72970732637137	4.01399345883887	3.83198608175484	3.64509154124452
100128590	3.80235588074198	3.75532352003465	3.8701782295373	3.75081357731685	3.793662077112	3.83480181679404
100128594	4.00854835225674	3.75860352209969	3.98265896685694	3.91174589912973	3.74966228477189	3.76614039989878
100128640	4.99230910263676	5.01508835616962	4.71528061815049	5.06085311895343	5.44051293826214	6.03352421125077
100128653	7.41513387071801	7.10576003080475	7.5386425044321	7.90959223785043	7.09808592318214	7.08510157061096
100128731	12.4106839989931	12.3150838125157	11.1884301250077	11.3570365201228	12.0899963509292	11.9477115033255
100128750	6.96068752391796	6.67469407182546	6.58816294900481	6.89445122038376	7.43602644576432	7.66941554411134
100128782	5.18056608883865	5.2308526858439	5.2562158179968	5.24482308179772	5.33368734641427	5.21355042381398
100128788	6.20514851588331	6.03634305298378	6.11674838310104	6.08190701375305	6.26755104598879	6.47623093974334
100128822	6.85454993021258	7.28900086042528	9.11393735080669	8.95855155367928	7.33192294426457	7.41513387071801
100128881	7.26609305952878	7.33094932827879	7.55421719188749	7.5742482663257	7.47610355938229	7.6979763717257
100128893	6.19826404688551	6.3021797861327	5.71376912109182	5.97149853355702	6.36484671917023	6.14599595803239
100128927	6.51958024007126	6.54550507659106	6.73408535081829	6.64139014699852	6.99338768647678	6.75219131511909
100128946	6.09284616975764	5.8651009513343	5.99986497667034	6.30987131185617	5.96112808254645	6.20463169193023
100128961	6.90916556953093	7.23402038740932	7.12441767784951	7.07011047169489	7.45144121465793	7.34570912226748
