PROBEID,ENTREZID
542,16824548,NA
543,16904365,64135
544,17079248,25962
545,16650331,NA
546,16900510,NA
547,17072125,114569
548,17072125,105375725
549,17013468,134957
550,16656181,NA
551,16654157,NA
552,17109545,10149
553,16842281,NA
554,16684898,NA
555,16904324,2191
556,16712458,64215
557,16755534,NA
558,16743328,79101
559,16692775,4170
560,16938061,23473
561,17121958,1431
562,16870443,9244
563,17124700,641977
564,17120860,143
565,17100793,NA
566,16990845,NA
567,17118836,9301
568,17118836,23642
569,16872223,NA
570,16821541,83716
571,17087480,7046
572,16898110,7514
573,17091695,10383
574,16758622,NA
575,17104685,NA
576,16659459,10630
577,16735820,NA
578,17084428,51271
579,16910070,100616493
580,16788622,767580
581,16973315,NA
582,16651585,NA
583,16701287,159
584,16958236,201562
585,17117907,NA
586,16790744,23428
587,16946928,51714
588,16759051,NA
589,16673056,6675
590,17017193,NA
591,16954058,NA
592,16799492,100505573
593,16735152,1200
594,16993421,NA
595,16674805,3915
596,16825465,107282092
597,16825465,440354
598,16825465,595101
599,16825465,23049
600,16650391,NA
601,17119146,26818
602,17119146,23521
603,16879764,23433
604,16850609,10627
605,16755526,NA
606,16678346,NA
607,17100893,NA
608,16753886,NA
609,16733070,3703
610,16769724,NA
611,16703495,22931
612,17119798,26778
613,17119798,6134
614,17006299,NA
615,17124872,101927668
616,16673899,51430
617,17116194,64595
618,16657023,NA
619,16802389,8554
620,16681304,54206
621,17022351,NA
622,16861384,NA
623,16751993,3178
624,16652825,NA
625,17106357,5358
626,17125582,NA
627,16678333,NA
628,16657181,NA
629,17050776,NA
630,17014166,56995
631,16758612,10959
632,17006378,203068
633,17010343,NA
634,16810966,NA
635,16847839,100616408
636,16847839,1655
637,16847840,NA
638,16651271,NA
639,16759262,NA
640,16865999,NA
641,16800630,84419
642,16800630,100126311
643,16893470,NA
644,17096546,85365
645,16650285,NA
646,16878443,2355
647,16651269,NA
648,17020930,55754
649,17010929,10957
650,16733851,10410
651,17067190,1808
652,17125580,NA
653,16900532,NA
654,17120866,143
655,16774405,29103
656,16822889,6187
657,16801850,51762
658,16831550,100129396
659,16831550,100996259
660,17121122,503639
661,17121122,642477
662,17121122,503637
663,17074071,NA
664,16781059,55608
665,16781059,100505494
666,17072979,10656
667,16808993,NA
668,16744689,NA
669,17100621,NA
670,16905590,51661
671,16651427,NA
672,16807931,NA
673,16909828,1293
674,16712703,10730
675,16651367,NA
676,16734355,283120
677,16734355,100033819
678,16685958,22887
679,16763964,677815
680,16763964,100302221
681,16925135,NA
682,16653711,NA
683,16881161,51449
684,16716350,59
685,16855502,NA
686,16653843,NA
687,16855493,NA
688,16869487,NA
689,16653171,NA
690,16747954,NA
691,16945472,NA
692,16650479,NA
693,16650703,NA
694,16681370,2023
695,16752018,NA
696,16724861,710
697,17022035,10973
698,17118854,692072
699,17118854,79101
700,16713057,94134
701,17095461,79670
702,16898578,2673
703,16653747,NA
704,16810963,NA
705,16723326,79832
706,16855578,3998
707,16656015,NA
708,16653703,NA
709,16873998,NA
710,16721681,NA
711,17026211,203068
712,17030404,203068
713,17033109,203068
714,17035229,203068
715,17037888,203068
716,17040602,203068
717,16699862,100616468
718,16713760,728643
719,16981266,91351
720,16654595,NA
721,16658939,NA
722,16654643,NA
723,16828520,NA
724,17094586,NA
725,16731945,372
726,16650751,NA
727,16726096,10313
728,17027559,203068
729,16942935,55279
730,16856232,10272
731,16924268,8204
732,16706422,NA
733,16838405,NA
734,16804409,NA
735,16650715,NA
736,16901427,80146
737,16656681,NA
738,16769078,NA
739,16771470,NA
740,16797932,NA
741,16721673,NA
742,16651653,NA
743,16913341,10398
744,16653825,NA
745,16900452,NA
746,16816018,100126355
747,16828841,55625
748,16796207,57062
749,16654659,NA
750,16850400,NA
751,16651225,NA
752,16835374,4779
753,16747956,NA
754,16660503,998
755,16752028,NA
756,16702827,653567
757,16745561,85391
758,16793067,10979
759,17005569,3008
760,16890473,NA
761,16653805,NA
