GSM880866_1UNT_PP0903_HG.U133_Plus_2_.CEL	GSM880867_1APL_PP0909_HG.U133_Plus_2_.CEL	GSM880868_2UNT_PP0907_HG.U133_Plus_2_.CEL	GSM880869_2APL_PP0912_HG.U133_Plus_2_.CEL	GSM880870_3UNT_PP0901_HG.U133_Plus_2_.CEL	GSM880871_3APL_PP0905_HG.U133_Plus_2_.CEL
100131561	3.27366513052928	3.2001338900942	3.33001034569705	3.34265071596334	3.13694297716144	3.46146499554475
100131564	8.67807834851819	8.54008342583162	8.45455677177882	8.54890074024947	8.75327568703512	8.76064391554379
100131655	3.86367070680078	3.56644251110076	3.11463432865745	3.51359047863385	3.73482581600745	3.39630065623901
100131676	10.7969025314731	10.8412924715197	11.0767851145582	10.8011593781832	10.6938273612834	10.8720172886137
100131689	7.96185997543982	8.60728429379829	8.59505127628141	8.58251022771292	8.41755755497139	8.58741834990444
100131691	2.75618713860289	2.79653878860057	2.81448289400334	3.1230853466088	3.27259001858687	3.00702734486787
100131733	4.0461981018989	3.9152013072584	3.675716528199	3.93663443043439	3.74650058000353	3.74752802327492
100131755	3.77053089367945	3.73856413089172	3.9050481107564	3.77053089367945	3.852542280168	3.72567022429836
100131801	7.107028545699	7.10819573817704	7.06313128778294	8.11428595920965	7.50964925201781	7.36019749439596
100131814	2.96277458914476	3.29255790229653	3.04541482424348	3.09149498828037	3.08363065729657	3.30996522208505
100131816	3.54574920271811	3.50644204527947	3.44843920467493	3.57586913159085	3.62830799426691	3.45924623747252
100131825	4.10041784351693	4.22004622533498	4.27597136911168	4.26343196687581	4.08142243876114	4.20050934148188
100131827	5.11668673817107	5.24516029130743	5.32070540157585	4.76627390414367	4.71818008377922	5.50395616660527
100131897	2.81085509690275	3.10959249817631	3.09034660146634	3.29998535131213	3.42090407720823	3.52076289053005
100131998	3.50234765213402	3.59101117465666	3.92434840161134	4.00449791934685	3.49609599139102	4.01739626631797
100132057	4.67302963457284	4.82432291562785	4.72702459702832	5.02094613757622	5.27354749031851	5.31715132166844
100132074	7.29369098139531	7.08732653418067	7.26502963263508	7.34896863475062	7.26561818815359	7.17663230676334
100132078	3.25272088543717	3.0823056358359	3.14134599886327	3.24185664712114	3.20311361148101	3.46019684589379
100132116	3.7630721263895	3.77510370998499	3.87996301424983	3.81716091029589	3.96900797405332	4.14408718377324
100132234	3.06027882339044	2.91125242866096	3.30660141151508	3.2878566158342	3.02368103816486	3.03375823765051
100132341	6.39127997332224	6.03788206388005	6.28221811895747	6.42498508021363	5.77166930723893	6.12152055986769
100132354	5.02705146922472	5.22941020523416	5.07455622389765	5.1435728342361	5.3142213751208	5.18053922737423
100132356	3.15677348777542	2.98501765858233	3.52113318567146	3.94642228577389	3.26626852014183	3.33610237065428
100132386	2.97070769767706	3.00432145944101	3.05179863952311	3.33459313648851	3.35584059805349	3.42409688919307
100132464	6.24428921112541	6.2508536961811	5.86336954095188	6.29745303200787	6.40351030234819	6.12331174826125
100132476	2.6229068009903	2.58087417698243	2.57578713721125	2.49688208593448	2.54194778326335	2.81640925134303
